address_name,borough,street_code,school_name
ralph avenue,K,73110,Gotham Professional Arts Academy
rockaway avenue,K,73470,Metropolitan Diploma Plus High School
rockaway parkway,K,73480,High School for Medical Professions
rockaway parkway,K,73480,Urban Action Academy
rockaway parkway,K,73480,High School for Innovation in Advertising and Media
schermerhorn street,K,75530,Brooklyn Frontiers High School
schermerhorn street,K,75530,Khalil Gibran International Academy
shore boulevard,K,76930,Leon M. Goldstein High School for the Sciences
shore road,K,77130,Fort Hamilton High School
stuyvesant avenue,K,82930,"Brooklyn Academy of Global Finance, The"
tilden avenue,K,85530,Cultural Academy for the Arts and Sciences
tilden avenue,K,85530,Kurt Hahn Expeditionary Learning School
tilden avenue,K,85530,It Takes a Village Academy
wells street,K,90460,Transit Tech Career and Technical Education High School
west 19 street,K,91330,Liberation Diploma Plus High School
west avenue,K,92230,Rachel Carson High School for Coastal Studies
willoughby avenue,K,93230,Brooklyn Community Arts & Media High School (BCAM)
28 street,Q,07640,Energy Tech High School
30 place,Q,07850,"Robert F. Wagner, Jr. Secondary School for Arts and Technology"
31 avenue,Q,07990,William Cullen Bryant High School
35 avenue,Q,08590,Frank Sinatra School of the Arts High School
36 avenue,Q,08690,Baccalaureate School for Global Education
36 street,Q,08740,Aviation Career & Technical Education High School
41 avenue,Q,09540,Academy of American Studies
41 avenue,Q,09540,Newcomers High School
44 road,Q,10040,Information Technology High School
47 avenue,Q,10440,Queens Vocational and Technical High School
51 avenue,Q,10890,Academy for Careers in Television and Film (ACTV)
74 street,Q,15640,Maspeth High School
76 road,Q,15940,"Queens School of Inquiry, The"
84 avenue,Q,17040,Thomas A. Edison Career and Technical Education High School
87 road,Q,17690,"Young Women's Leadership School, Queens (TYWLS)"
90 street,Q,18240,Newtown High School
90 street,Q,18240,International High School for Health Sciences
91 avenue,Q,18290,Cambria Heights Academy
94 street,Q,18740,Civic Leadership Academy
94 street,Q,18740,Pan American International High School
104 street,Q,19740,"High School for Construction Trades, Engineering and Architecture"
110 street,Q,20390,Forest Hills High School
114 street,Q,20740,Richmond Hill High School
117 street,Q,21040,Epic High School - North
159 street,Q,23940,Queens High School for the Sciences at York College
167 street,Q,24390,York Early College Academy
192 street,Q,25440,World Journalism Preparatory: A College Board School
204 street,Q,26040,Pathways College Preparatory School: A College Board School
223 street,Q,26990,Benjamin N. Cardozo High School
baisley boulevard,Q,29090,August Martin High School
barclay avenue,Q,29290,Flushing International High School
bay 25 street,Q,29569,Frederick Douglass Academy VI High School
bay 25 street,Q,29569,Academy of Medical Technology: A College Board School
bay 25 street,Q,29569,"Queens High School for Information, Research, and Technology"
beach 104 street,Q,33610,Scholars' Academy
beach channel drive,Q,35290,Rockaway Collegiate High School
beach channel drive,Q,35290,Rockaway Park High School for Environmental Sustainability
beach channel drive,Q,35290,Channel View School for Research
broadway,Q,37290,Long Island City High School
colden street,Q,39490,East-West School of International Studies
commonwealth boulevard,Q,39635,"Queens High School of Teaching, Liberal Arts and the Sciences"
corporal kennedy street,Q,40190,Bayside High School
goethals avenue,Q,47090,Queens Gateway to Health Sciences Secondary School
gothic drive,Q,47195,Queens Collegiate: A College Board School
gothic drive,Q,47195,Jamaica Gateway to the Sciences
gothic drive,Q,47195,Hillside Arts & Letters Academy
gothic drive,Q,47195,High School for Community Leadership
guy r brewer boulevard,Q,57190,High School for Law Enforcement and Public Safety
highland avenue,Q,49490,Hillcrest High School
hillside avenue,Q,49690,Business Technology Early College High School (BTECH)
hillside avenue,Q,49690,Martin Van Buren High School
himrod street,Q,49790,Grover Cleveland High School
lafayette street,Q,52510,Robert H. Goddard High School of Communication Arts and Technology
linden boulevard,Q,53890,Eagle Academy for Young Men III
main street,Q,54580,John Bowne High School
melbourne avenue,Q,55390,Townsend Harris High School
metropolitan avenue,Q,55690,Metropolitan Expeditionary Learning School
metropolitan avenue,Q,55690,Queens Metropolitan High School
newtown avenue,Q,57390,"Young Women's Leadership School, Astoria (TYWLS)"
parsons boulevard,Q,58590,Robert F. Kennedy Community High School
rockaway boulevard,Q,60810,Epic High School - South
rockaway boulevard,Q,60810,John Adams High School
springfield boulevard,Q,63290,Queens Preparatory Academy
springfield boulevard,Q,63290,George Washington Carver High School for the Sciences
springfield boulevard,Q,63290,Excelsior Preparatory High School
springfield boulevard,Q,63290,Preparatory Academy for Writers: A College Board School
thomson avenue,Q,65120,High School of Applied Communication
thomson avenue,Q,65120,Academy of Finance and Enterprise
thomson avenue,Q,65120,Bard High School Early College Queens
union street,Q,65490,Veritas Academy
union street,Q,65490,Flushing High School
union street,Q,65490,Queens High School for Language Studies
utopia parkway,Q,65690,Francis Lewis High School
van dam street,Q,65810,Middle College High School at LaGuardia Community College
van dam street,Q,65810,International High School at LaGuardia Community College
clawson street,R,23100,Staten Island Technical High School
essex drive,R,27675,Gaynor McCown Expeditionary Learning School
essex drive,R,27675,CSI High School for International Studies
gordon street,R,29900,The Eagle Academy for Young Men of Staten Island
hamilton avenue,R,31400,Curtis High School
luten avenue,R,37280,Tottenville High School
manor road,R,37850,Susan E. Wagner High School
new dorp lane,R,39800,New Dorp High School
ocean terrace,R,41320,The Michael J. Petrides School
st josephs avenue,R,48985,Port Richmond High School
st marks place,R,49100,Ralph R. McKee Career and Technical Education High School
7 avenue,NY,10610,Frederick Douglass Academy
10 avenue,NY,11010,Independence High School
academy street,NY,11310,High School for Excellence and Innovation
academy street,NY,11310,Inwood Early College for Health and Information Technologies
amsterdam avenue,NY,11710,Fiorello H. LaGuardia High School of Music & Art and Performing Arts
amsterdam avenue,NY,11710,Manhattan / Hunter Science High School
amsterdam avenue,NY,11710,Special Music School
amsterdam avenue,NY,11710,The Urban Assembly School for Media Studies
amsterdam avenue,NY,11710,High School of Arts and Technology
amsterdam avenue,NY,11710,"High School for Law, Advocacy and Community Justice"
amsterdam avenue,NY,11710,The Maxine Greene High School for Imaginative Inquiry
audubon avenue,NY,12010,High School for Law and Public Service
audubon avenue,NY,12010,High School for Media and Communications
audubon avenue,NY,12010,High School for Health Careers and Sciences
audubon avenue,NY,12010,The College Academy
avenue of the americas,NY,10510,NYC iSchool
avenue of the americas,NY,10510,Chelsea Career and Technical Education High School
beaver street,NY,12950,Richard R. Green High School of Teaching
broad street,NY,13590,Millennium High School
broadway,NY,13610,The Urban Assembly School of Business for Young Women
broadway,NY,13610,City College Academy of the Arts
chambers street,NY,14710,Stuyvesant High School
columbia street,NY,15610,"New Explorations into Science, Technology and Math High School (NEST+m)"
convent avenue,NY,15910,"High School for Mathematics, Science and Engineering at City College (HSMSE)"
east 12 street,NY,17230,East Side Community School
east 15 street,NY,17290,Institute for Collaborative Education (ICE)
east 15 street,NY,17290,High School for Health Professions and Human Services
east 15 street,NY,17290,The Clinton School
east 22 street,NY,17430,School of the Future High School
east 23 street,NY,17450,47 The American Sign Language and English Secondary School
east 25 street,NY,17490,Baruch College Campus High School
east 33 street,NY,17650,Manhattan Academy for Arts & Language
east 33 street,NY,17650,Unity Center for Urban Technologies
east 33 street,NY,17650,Murray Hill Academy
east 56 street,NY,18110,Art and Design High School
east 67 street,NY,18330,Talent Unlimited High School
east 67 street,NY,18330,Vanguard High School
east 67 street,NY,18330,Manhattan International High School
east 76 street,NY,18510,Eleanor Roosevelt High School
east 96 street,NY,18890,Life Sciences Secondary School
east 105 street,NY,19070,Park East High School
east 106 street,NY,19090,Young Women's Leadership School (TYWLS)
east 109 street,NY,19150,Esperanza Preparatory Academy
east houston street,NY,19890,Bard High School Early College
edgecombe avenue,NY,19990,Mott Hall High School
edgecombe avenue,NY,19990,Eagle Academy for Young Men of Harlem
grand street,NY,21690,Essex Street Academy
grand street,NY,21690,High School for Dual Language and Asian Studies
grand street,NY,21690,New Design High School
grand street,NY,21690,Lower Manhattan Arts Academy
grand street,NY,21690,The Urban Assembly Academy of Government and Law
henry street,NY,22690,Orchard Collegiate Academy
hester street,NY,22890,Pace High School
irving place,NY,23390,The High School For Language and Diplomacy
irving place,NY,23390,Gramercy Arts High School
irving place,NY,23390,International High School at Union Square
irving place,NY,23390,Academy for Software Engineering (AFSE)
irving place,NY,23390,Union Square Academy for Health Sciences
lexington avenue,NY,24890,"Heritage School, The"
madison avenue,NY,25390,Central Park East High School
madison avenue,NY,25390,The Urban Assembly School for Global Commerce
monroe street,NY,26390,University Neighborhood High School
pearl street,NY,28490,The Urban Assembly School for Emergency Management
pearl street,NY,28490,Urban Assembly Maker Academy
pearl street,NY,28490,Manhattan Early College School for Advertising
pearl street,NY,28490,Murry Bergtraum High School for Business Careers
pleasant avenue,NY,29090,Manhattan Center for Science and Mathematics
stanton street,NY,31490,Marta Valle High School
trinity place,NY,32615,Leadership and Public Service High School
trinity place,NY,32615,High School of Economics and Finance
west 14 street,NY,34050,Harvest Collegiate High School
west 17 street,NY,34110,N.Y.C. Lab School for Collaborative Studies
west 17 street,NY,34110,N.Y.C. Museum School
west 18 street,NY,34130,Hudson High School of Learning Technologies
west 18 street,NY,34130,Humanities Preparatory Academy
west 18 street,NY,34130,Manhattan Business Academy
west 18 street,NY,34130,Landmark High School
west 18 street,NY,34130,Quest to Learn
west 22 street,NY,34210,Manhattan Village Academy
west 24 street,NY,34250,The High School of Fashion Industries
west 43 street,NY,34630,Repertory Company High School for Theatre Arts
west 44 street,NY,34650,Beacon High School
west 46 street,NY,34690,Jacqueline Kennedy Onassis High School
west 48 street,NY,34730,Professional Performing Arts High School (PPAS)
west 49 street,NY,34750,Urban Assembly Gateway School for Technology
west 49 street,NY,34750,Stephen T. Mather Building Arts & Craftsmanship High School
west 49 street,NY,34750,Business of Sports School (BOSS)
west 50 street,NY,34770,The Facing History School
west 50 street,NY,34770,The Urban Assembly School of Design and Construction
west 50 street,NY,34770,High School of Hospitality Management
west 50 street,NY,34770,Manhattan Bridges High School
west 50 street,NY,34770,Food and Finance High School
west 56 street,NY,34890,High School for Environmental Studies
west 61 street,NY,34990,West End Secondary School
west 84 street,NY,35450,Frank McCourt High School
west 84 street,NY,35450,The Urban Assembly School for Green Careers
west 84 street,NY,35450,The Global Learning Collaborative
west 114 street,NY,36050,Wadleigh Secondary School for the Performing & Visual Arts
west 114 street,NY,36050,Frederick Douglass Academy II Secondary School
west 123 street,NY,36230,Columbia Secondary School
west 129 street,NY,36350,Urban Assembly School for the Performing Arts
west 135 street,NY,36470,Thurgood Marshall Academy for Learning and Social Change
west 135 street,NY,36470,A. Philip Randolph Campus High School
west 158 street,NY,36930,Community Health Academy of the Heights
west 165 street,NY,37070,Gregorio Luperon High School for Science and Mathematics
west 182 street,NY,37390,Washington Heights Expeditionary Learning School (WHEELS)
antin place,BX,08930,Bronx High School for the Visual Arts
astor avenue,BX,09620,Pelham Preparatory Academy
astor avenue,BX,09620,Collegiate Institute for Math and Science (CIMS)
astor avenue,BX,09620,High School of Language and Innovation
astor avenue,BX,09620,Astor Collegiate Academy
astor avenue,BX,09620,Bronxdale High School
bathgate avenue,BX,11420,Mott Hall Bronx High School
bathgate avenue,BX,11420,Validus Preparatory Academy
bathgate avenue,BX,11420,The Urban Assembly School for Applied Math and Science
baychester avenue,BX,11620,Bronx Health Sciences High School
baychester avenue,BX,11620,Harry S Truman High School
boston road,BX,13820,Explorations Academy
boston road,BX,13820,High School for Violin and Dance
boston road,BX,13820,School for Excellence
boston road,BX,13820,Bronx Envision Academy
boston road,BX,13820,Morris Academy for Collaborative Studies
boston road,BX,13820,Bronx International High School
boynton avenue,BX,14220,Pan American International High School at Monroe
boynton avenue,BX,14220,High School of World Cultures
boynton avenue,BX,14220,"Metropolitan Soundview High School, The"
brook avenue,BX,15720,International Community High School
crotona avenue,BX,22320,High School for Energy and Technology
crotona avenue,BX,22320,Bronx Academy for Software Engineering (BASE)
crotona avenue,BX,22320,Crotona International High School
east 145 street,BX,26010,The Laboratory School of Finance and Technology
east 145 street,BX,26010,South Bronx Preparatory: A College Board School
east 151 street,BX,26190,Alfred E. Smith Career and Technical Education High School
east 151 street,BX,26190,Bronx Design and Construction Academy
east 163 street,BX,26550,"Bronx School for Law, Government and Justice"
east 164 street,BX,26580,Bronx Early College Academy for Teaching & Learning
east 172 street,BX,26820,Bronx Collegiate Academy
east 172 street,BX,26820,The Cinema School
east 172 street,BX,26820,Bronx High School for Medical Science
east 172 street,BX,26820,DreamYard Preparatory School
east 172 street,BX,26820,Mott Hall V
east 172 street,BX,26820,Bronx High School of Business
east 172 street,BX,26820,New Directions Secondary School
east 172 street,BX,26820,Claremont International High School
east 180 street,BX,27060,Wings Academy
east 228 street,BX,28470,The Bronxwood Preparatory Academy
east 228 street,BX,28470,Academy for Scholarship and Entrepreneurship: A College Board School
east 228 street,BX,28470,New World High School
east fordham road,BX,29220,West Bronx Academy for the Future
east fordham road,BX,29220,Fordham Leadership Academy
east fordham road,BX,29220,Belmont Preparatory High School
east fordham road,BX,29220,Bronx High School for Law and Community Service
east fordham road,BX,29220,Knowledge and Power Preparatory Academy International High School (KAPPA)
east fordham road,BX,29220,Fordham High School for the Arts
east gun hill road,BX,29320,Bronx Academy of Health Careers
east gun hill road,BX,29320,Bronx Aerospace High School
east gun hill road,BX,29320,High School of Computers and Technology
east gun hill road,BX,29320,Bronx Lab School
east gun hill road,BX,29320,High School for Contemporary Arts
east gun hill road,BX,29320,Bronx High School for Writing and Communication Arts
east tremont avenue,BX,29620,Westchester Square Academy
east tremont avenue,BX,29620,Renaissance High School for Musical Theater and the Arts
east tremont avenue,BX,29620,Pelham Lab High School
east tremont avenue,BX,29620,Schuylerville Preparatory High School
east tremont avenue,BX,29620,Herbert H. Lehman High School
east tremont avenue,BX,29620,Bronx River High School
fulton avenue,BX,34220,Eximius College Preparatory Academy: A College Board School
fulton avenue,BX,34220,Bronx Center for Science and Mathematics
gerard avenue,BX,35020,Community School for Social Justice
gerard avenue,BX,35020,Health Opportunities High School
goulden avenue,BX,36060,High School of American Studies at Lehman College
home street,BX,40520,Bronx Latin
home street,BX,40520,Bronx Career and College Preparatory High School
jennings street,BX,42720,Fannie Lou Hamer Freedom High School
jerome avenue,BX,42820,Comprehensive Model School Project M.S. 327
lafayette avenue,BX,45120,Gotham Collaborative High School
lafayette avenue,BX,45120,Antonia Pantoja Preparatory Academy: A College Board School
lafayette avenue,BX,45120,Bronx Compass High School
lafayette avenue,BX,45120,Bronx Bridges High School
lafayette avenue,BX,45120,Millennium Art Academy
longwood avenue,BX,46820,Longwood Preparatory Academy
macombs road,BX,48220,Academy for Language and Technology
morris avenue,BX,52120,Young Women's Leadership School of the Bronx (TYWLS)
morris avenue,BX,52120,The Urban Assembly Bronx Academy of Letters
reservoir avenue,BX,60820,Kingsbridge International High School
reservoir avenue,BX,60820,"Celia Cruz Bronx High School of Music, The"
reservoir avenue,BX,60820,High School for Teaching and the Professions
reservoir avenue,BX,60820,International School for Liberal Arts
reservoir avenue,BX,60820,Discovery High School
simpson street,BX,65020,Bronx Studio School for Writers and Artists
southern boulevard,BX,65320,East Bronx Academy for the Future
southern boulevard,BX,65320,"H.E.R.O. High (Health, Education, and Research Occupations High School)"
st anns avenue,BX,65620,Mott Haven Village Preparatory High School
st anns avenue,BX,65620,University Heights Secondary School
terrace view avenue,BX,67880,Marble Hill High School for International Studies
terrace view avenue,BX,67880,Bronx Theatre High School
terrace view avenue,BX,67880,Bronx School of Law and Finance
terrace view avenue,BX,67880,Bronx Engineering and Technology Academy
tibbett avenue,BX,68320,In-Tech Academy (M.S. / High School 368)
tinton avenue,BX,69020,School for Tourism and Hospitality
webster avenue,BX,73720,Theater Arts Production Company School (TAPCo)
webster avenue,BX,73720,Bronx Leadership Academy High School
west 231 street,BX,74960,"The Marie Curie School for Medicine, Nursing, and Health Professions"
west 237 street,BX,75110,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA)
white plains road,BX,77150,"Archimedes Academy for Math, Science and Technology Applications"
white plains road,BX,77150,Women's Academy of Excellence
7 avenue,K,05780,Millennium Brooklyn High School
7 avenue,K,05780,Park Slope Collegiate
7 avenue,K,05780,John Jay School for Law
7 avenue,K,05780,Secondary School for Journalism
16 avenue,K,06680,Urban Assembly School for Criminal Justice
20 avenue,K,07080,Franklin Delano Roosevelt High School
21 avenue,K,07230,Brooklyn Studio Secondary School
35 street,K,08330,Sunset Park High School
67 street,K,09930,High School of Telecommunication Arts and Technology
80 street,K,10580,New Utrecht High School
adams street,K,11800,The Urban Assembly School for Law and Justice
adams street,K,11800,Urban Assembly Institute of Math and Science for Young Women
albany avenue,K,12130,Academy for Health Careers
albany avenue,K,12130,Pathways in Technology Early College High School (P-TECH)
avenue l,K,14180,Edward R. Murrow High School
avenue x,K,14780,Professional Pathways High School
avenue x,K,14780,John Dewey High School
avenue x,K,14780,Origins High School
baltic street,K,15180,Digital Arts and Cinema Technology High School
baltic street,K,15180,The Boerum Hill School for International Studies
baltic street,K,15180,Cobble Hill School of American Studies
bedford avenue,K,18630,James Madison High School
bedford avenue,K,18630,Bedford Academy High School
bedford avenue,K,18630,Midwood High School
bedford avenue,K,18630,Automotive High School
benson avenue,K,19030,Life Academy High School for Film and Music
benson avenue,K,19030,Kingsborough Early College School
benson avenue,K,19030,International High School at Lafayette
benson avenue,K,19030,Expeditionary Learning School for Community Leaders
benson avenue,K,19030,High School of Sports Management
bergen street,K,19230,Brooklyn Collegiate: A College Board School
brighton 4 road,K,21850,William E. Grady Career and Technical Education High School
bristol street,K,23130,Frederick Douglass Academy VII High School
bristol street,K,23130,Teachers Preparatory High School
broadway,K,23230,Brooklyn High School for Law and Technology
bushwick avenue,K,23930,Young Women's Leadership School of Brooklyn (TYWLS)
bushwick avenue,K,23930,Bushwick Leaders High School for Academic Excellence
carroll street,K,24830,Medgar Evers College Preparatory School
classon avenue,K,26730,International High School at Prospect Heights
classon avenue,K,26730,Brooklyn Academy of Science and the Environment (BASE)
classon avenue,K,26730,The High School for Global Citizenship
classon avenue,K,26730,Clara Barton High School
classon avenue,K,26730,Brooklyn School for Music & Theatre
clinton avenue,K,27430,Benjamin Banneker Academy
coney island avenue,K,28830,Brooklyn College Academy
dean street,K,31830,Brooklyn High School of the Arts
dekalb avenue,K,31530,EBC High School for Public Service-Bushwick
elton street,K,39230,Academy for Young Writers
elton street,K,39230,Spring Creek Community School
flatbush avenue,K,40930,Academy of Hospitality and Tourism
flatbush avenue,K,40930,High School for Service & Learning at Erasmus
flatbush avenue,K,40930,High School for Youth and Community Development at Erasmus
flatbush avenue,K,40930,Academy for College Preparation and Career Exploration: A College Board School
flatbush avenue,K,40930,"Science, Technology and Research Early College High School at Erasmus (STAR)"
flatbush avenue extension,K,40830,Urban Assembly High School of Music and Art
flatbush avenue extension,K,40830,Brooklyn International High School
flatbush avenue extension,K,40830,"Science Skills Center High School for Science, Technology and the Creative Arts"
flatlands avenue,K,41030,Victory Collegiate High School
flatlands avenue,K,41030,Academy for Conservation and the Environment
flatlands avenue,K,41030,Brooklyn Theatre Arts High School
flatlands avenue,K,41030,Brooklyn Generation School
fountain avenue,K,41830,School for Classics High School
fulton street,K,42730,Nelson Mandela High School
fulton street,K,42730,Boys and Girls High School
graham avenue,K,44930,"Brooklyn Latin School, The"
graham avenue,K,44930,Lyons Community School
graham avenue,K,44930,The Williamsburg High School of Arts and Technology
grand avenue,K,45030,ACORN Community High School
grand avenue,K,45030,Gotham Professional Arts Academy
grand street,K,45130,East Williamsburg Scholars Academy
grand street,K,45130,"The High School for Enterprise, Business and Technology"
grand street,K,45130,PROGRESS High School for Professional Careers
henry street,K,48830,Brooklyn Collaborative Studies
herkimer street,K,49130,Eagle Academy for Young Men II
heyward street,K,49530,Juan Morel Campos Secondary School
hooper street,K,50530,El Puente Academy for Peace and Justice
irving avenue,K,52130,Academy for Environmental Leadership
irving avenue,K,52130,"Brooklyn School for Math and Research (B-SMARt), The"
irving avenue,K,52130,The Academy of Urban Planning and Engineering
irving avenue,K,52130,"Brooklyn School for Social Justice, The"
jamaica avenue,K,52730,The Urban Assembly School for Collaborative Healthcare
jamaica avenue,K,52730,Academy of Innovative Technology
jamaica avenue,K,52730,Cypress Hills Collegiate Preparatory School
jamaica avenue,K,52730,Multicultural High School
jamaica avenue,K,52730,Brooklyn Lab School
kingston avenue,K,54070,The School for Human Rights
kingston avenue,K,54070,Brooklyn Institute for Liberal Arts (BILA)
kingston avenue,K,54070,High School for Public Service: Heroes of Tomorrow
linden boulevard,K,56230,East New York Family Academy
north 6 street,K,66230,Brooklyn Preparatory High School
north 6 street,K,66230,Williamsburg High School for Architecture and Design
north 6 street,K,66230,Williamsburg Preparatory School
ocean parkway,K,67730,Abraham Lincoln High School
palmetto street,K,69030,All City Leadership Secondary School
park avenue,K,69230,Dr. Susan S. McKinney Secondary School of the Arts
pennsylvania avenue,K,70330,Performing Arts and Technology High School
pennsylvania avenue,K,70330,W. H. Maxwell Career and Technical Education High School
pennsylvania avenue,K,70330,World Academy for Total Community Health High School (WATCH)
pennsylvania avenue,K,70330,FDNY-Captain Vernon A. Richard High School for Fire and Life Safety
pennsylvania avenue,K,70330,High School for Civil Rights
rockaway avenue,K,73470,Metropolitan Diploma Plus High School
rockaway parkway,K,73480,High School for Medical Professions
rockaway parkway,K,73480,High School for Innovation in Advertising and Media
rockaway parkway,K,73480,Urban Action Academy
schermerhorn street,K,75530,Brooklyn Frontiers High School
schermerhorn street,K,75530,Khalil Gibran International Academy
shore boulevard,K,76930,Leon M. Goldstein High School for the Sciences
shore road,K,77130,Fort Hamilton High School
