StreetCode,Street,Longitude,Latitude,Borough
00001,NY STATE ELLIS ISLAND BOUNDARY,-74.03960022449183,40.699316134075865,1
00008,"PATH-JOURNAL SQ- 33 ST LINE, PATH-NEWARK-HOBOKEN WTC LINE",-74.00547698855357,40.73152856618706,1
00009,MANHATTAN CRUISE TERMINAL RAMP,-73.99705794918532,40.7670858025025,1
00013,FDNY TRAINING ACADEMY BOUNDARY,-73.92000448743485,40.7917025858031,1
00016,NORTH END WAY,-74.0148379747781,40.71484861797109,1
00018,DEP WARDS ISLAND WPCP BOUNDARY,-73.92301303391488,40.78922386452697,1
00020,CROSS BRONX EXPWY EB ET 2,-73.93225838036562,40.84633945675905,1
00021,"LIRR PENN CENTRAL LINE, LIRR EAST SIDE ACCESS LINE",-73.9709033118891,40.75312847433315,1
00023,"HENRY HUDSON PKWY NB ET 10 B, HENRY HUDSON PKWY NB ET 10 A",-73.98381416890015,40.78491989593397,1
00024,DRIVEWAY,-73.95607356997654,40.77347679772805,1
00025,HENRY HUDSON PARKWAY ET 10 SB,-73.98372709745168,40.78656312281748,1
00026,HENRY HUDSON PARKWAY ET 14 SB,-73.94475099423373,40.84682992539967,1
00036,HELL GATE BRIDGE,-73.92202004896497,40.782554712752905,1
00038,PETER MINUIT PLACE,-74.01394608409501,40.70166462921913,1
00039,6 1/2 AVENUE,-73.98031767039717,40.76315044558999,1
00059,BIKE PATH,-73.96105918141922,40.76847673195997,1
00072,NORTH LOOP ROAD,-73.9550358344306,40.75618963560141,1
00076,SOUTH LOOP ROAD,-73.9580008957309,40.75315292232452,1
00077,WEST LOOP ROAD,-73.95720725452158,40.755084929432364,1
00085,EAST LOOP ROAD,-73.95583128125912,40.75429988128492,1
00102,BATTERY PARK CITY GREENWAY,-74.01746832462375,40.711522256066914,1
00103,BATTERY PARK GREENWAY,-74.01543098668483,40.70338673158228,1
00108,CITY HALL PARK GREENWAY,-74.0057145274009,40.71308078799048,1
00132,CHERRY WALK GREENWAY,-73.96880068922131,40.80883815807932,1
00182,WARDS ISLAND GREENWAY,-73.93012375649012,40.78269871849371,1
00200,"WASHINGTON BRIDGE, WASHINGTON BR PED AND BIKE PATH",-73.92892815707575,40.84725381182685,1
00210,WEST 158 STREET PEDESTRIAN UNP,-73.94893998074026,40.83670607680111,1
00211,WEST 155 STREET PEDESTRIAN UNP,-73.94792079561081,40.833631395797795,1
00212,PEDESTRIAN UNDERPASS,-73.9517112348739,40.82950778916155,1
00236,RANDALLS ISLAND GREENWAY,-73.92090429179416,40.79520243368937,1
00243,ROOSEVELT ISLAND GREENWAY,-73.94675086043883,40.765344805614276,1
00244,HUDSON RIVER GREENWAY,-73.99615229545621,40.7614565685457,1
00245,HIGH BRIDGE GREENWAY,-73.93432989698168,40.83969227994846,1
00247,FORT WASHINGTON PARK GREENWAY,-73.93661490742964,40.860308270096816,1
00248,HARLEM RIVER DRIVE GREENWAY,-73.93134875734967,40.8356424165906,1
00249,"GOVERNORS ISLAND PATH, OUTLOOK HILL PATH, DISCOVERY HILL PATH",-74.02244688283997,40.68765553717431,1
00285,E HOUSTON STREET PEDESTRIAN OVPS,-73.97468156183058,40.71883542605042,1
00297,102 STREET CROSSING,-73.95713907883604,40.7940406114157,1
00376,NJ TRANSIT-PENN CENTRAL LINE,-74.00083786251163,40.75359655479348,1
00416,NYS OFFICE OF MENTAL HEALTH BNDY,-73.9294995090736,40.78857597502833,1
00515,FDR FOUR FREEDOMS PARK PATH,-73.9604316244285,40.750699763065704,1
00655,RIVERSIDE PARK PATH,-73.9581905392981,40.820876280832366,1
00662,LIBERTY-ELLIS ISLANDS FERRY RTE,-74.02386517520404,40.69776481391198,1
00663,EDGEWATER-MIDTOWN WEST FERRY RTE,-73.98562141576,40.79238940340292,1
00664,HBKN 14 ST-MIDTOWN W FRY ROUTE,-74.01023343788479,40.757969503699925,1
00665,HOBOKEN TRML-WFC FERRY ROUTE,-74.02036500858074,40.72294505306597,1
00666,LIBERTY HARBOR-WALL ST FERRY RTE,-74.01530669234789,40.699978165683646,1
00667,HOBOKEN TRML-WALL ST FERRY ROUTE,-74.01905530864923,40.71006749582255,1
